learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.476807
1,4,1,0.238,0.877,0.163,0.021362
1,4,1,0.238,0.877,0.163,0.905212
1,4,2,0.238,0.877,0.163,0.153107
1,4,2,0.238,0.877,0.163,0.799988
1,4,2,0.238,0.877,0.163,0.365356
1,4,3,0.238,0.877,0.163,0.300232
2,8,0,0.201,0.881,0.16,0.750519
2,8,1,0.201,0.881,0.16,0.164032
2,8,1,0.201,0.881,0.16,0.472809
2,8,1,0.201,0.881,0.16,0.108643
2,8,1,0.201,0.881,0.16,0.723389
2,8,2,0.201,0.881,0.16,0.269806
2,8,3,0.201,0.881,0.16,0.538666
2,8,4,0.201,0.881,0.16,0.718353
2,8,5,0.201,0.881,0.16,0.635925
2,8,6,0.201,0.881,0.16,0.324219
2,8,7,0.201,0.881,0.16,0.41803
3,10,0,0.215,0.875,0.15,0.766663
3,10,1,0.215,0.875,0.15,0.924347
3,10,2,0.215,0.875,0.15,0.654083
3,10,3,0.215,0.875,0.15,0.121155
3,10,3,0.215,0.875,0.15,0.997986
3,10,4,0.215,0.875,0.15,0.232788
3,10,5,0.215,0.875,0.15,0.449554
3,10,6,0.215,0.875,0.15,0.790802
3,10,7,0.215,0.875,0.15,0.4758
3,10,8,0.215,0.875,0.15,0.898773
3,10,9,0.215,0.875,0.15,0.454865
4,13,0,0.229,0.865,0.154,0.766632
4,13,1,0.229,0.865,0.154,0.916138
4,13,2,0.229,0.865,0.154,0.771454
4,13,3,0.229,0.865,0.154,0.804474
4,13,4,0.229,0.865,0.154,0.138275
4,13,4,0.229,0.865,0.154,0.837952
4,13,4,0.229,0.865,0.154,0.736664
4,13,5,0.229,0.865,0.154,0.21759
4,13,5,0.229,0.865,0.154,0.626099
4,13,5,0.229,0.865,0.154,0.76828
4,13,6,0.229,0.865,0.154,0.059692
4,13,6,0.229,0.865,0.154,0.96167
4,13,7,0.229,0.865,0.154,0.430023
4,13,8,0.229,0.865,0.154,0.117615
4,13,8,0.229,0.865,0.154,0.820465
4,13,8,0.229,0.865,0.154,0.314728
4,13,9,0.229,0.865,0.154,0.060577
4,13,9,0.229,0.865,0.154,0.82547
4,13,9,0.229,0.865,0.154,0.102722
4,13,9,0.229,0.865,0.154,0.273132
4,13,10,0.229,0.865,0.154,0.750519
4,13,11,0.229,0.865,0.154,0.24118
4,13,12,0.229,0.865,0.154,0.680115
5,9,0,0.22,0.871,0.172,0.623596
5,9,1,0.22,0.871,0.172,0.023926
5,9,1,0.22,0.871,0.172,0.487091
5,9,1,0.22,0.871,0.172,0.984192
5,9,2,0.22,0.871,0.172,0.965729
5,9,3,0.22,0.871,0.172,0.077911
5,9,3,0.22,0.871,0.172,0.434265
5,9,3,0.22,0.871,0.172,0.195801
5,9,4,0.22,0.871,0.172,0.413422
5,9,5,0.22,0.871,0.172,0.400238
5,9,6,0.22,0.871,0.172,0.729828
5,9,7,0.22,0.871,0.172,0.918518
5,9,8,0.22,0.871,0.172,0.128571
5,9,8,0.22,0.871,0.172,0.879486
6,19,0,0.22,0.863,0.181,0.926392
6,19,1,0.22,0.863,0.181,0.30014
6,19,2,0.22,0.863,0.181,0.714447
