learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.026611
1,4,0,0.238,0.877,0.163,0.624908
1,4,0,0.238,0.877,0.163,0.643341
1,4,1,0.238,0.877,0.163,0.19519
1,4,1,0.238,0.877,0.163,0.892731
1,4,2,0.238,0.877,0.163,0.343048
1,4,3,0.238,0.877,0.163,0.883026
2,8,0,0.201,0.881,0.16,0.934509
2,8,1,0.201,0.881,0.16,0.043518
2,8,1,0.201,0.881,0.16,0.528595
2,8,1,0.201,0.881,0.16,0.22171
2,8,2,0.201,0.881,0.16,0.910492
2,8,3,0.201,0.881,0.16,0.17868
2,8,3,0.201,0.881,0.16,0.614777
2,8,3,0.201,0.881,0.16,0.867615
2,8,4,0.201,0.881,0.16,0.528564
2,8,5,0.201,0.881,0.16,0.39212
2,8,6,0.201,0.881,0.16,0.309937
2,8,7,0.201,0.881,0.16,0.293457
3,10,0,0.215,0.875,0.15,0.32959
3,10,1,0.215,0.875,0.15,0.259216
3,10,2,0.215,0.875,0.15,0.109924
3,10,2,0.215,0.875,0.15,0.059692
3,10,2,0.215,0.875,0.15,0.337219
3,10,3,0.215,0.875,0.15,0.024139
3,10,3,0.215,0.875,0.15,0.803589
3,10,3,0.215,0.875,0.15,0.859497
3,10,4,0.215,0.875,0.15,0.766235
3,10,5,0.215,0.875,0.15,0.532135
3,10,6,0.215,0.875,0.15,0.683197
3,10,7,0.215,0.875,0.15,0.307709
3,10,8,0.215,0.875,0.15,0.680847
3,10,9,0.215,0.875,0.15,0.32428
4,13,0,0.229,0.865,0.154,0.704559
4,13,1,0.229,0.865,0.154,0.211395
4,13,1,0.229,0.865,0.154,0.173523
4,13,1,0.229,0.865,0.154,0.574677
4,13,2,0.229,0.865,0.154,0.974426
4,13,3,0.229,0.865,0.154,0.32962
4,13,4,0.229,0.865,0.154,0.418182
4,13,5,0.229,0.865,0.154,0.794495
4,13,6,0.229,0.865,0.154,0.296021
4,13,7,0.229,0.865,0.154,0.403717
4,13,8,0.229,0.865,0.154,0.355713
4,13,9,0.229,0.865,0.154,0.488708
4,13,10,0.229,0.865,0.154,0.005676
4,13,10,0.229,0.865,0.154,0.615021
4,13,10,0.229,0.865,0.154,0.676178
4,13,11,0.229,0.865,0.154,0.263306
4,13,12,0.229,0.865,0.154,0.601654
5,9,0,0.22,0.871,0.172,0.318024
5,9,1,0.22,0.871,0.172,0.66861
5,9,2,0.22,0.871,0.172,0.333313
5,9,3,0.22,0.871,0.172,0.144531
5,9,3,0.22,0.871,0.172,0.782715
5,9,3,0.22,0.871,0.172,0.825897
5,9,4,0.22,0.871,0.172,0.358887
5,9,5,0.22,0.871,0.172,0.967712
5,9,6,0.22,0.871,0.172,0.14621
5,9,6,0.22,0.871,0.172,0.862213
5,9,6,0.22,0.871,0.172,0.518951
5,9,7,0.22,0.871,0.172,0.798248
5,9,8,0.22,0.871,0.172,0.609711
6,19,0,0.22,0.863,0.181,0.779785
6,19,1,0.22,0.863,0.181,0.202942
6,19,1,0.22,0.863,0.181,0.958282
6,19,2,0.22,0.863,0.181,0.084595
6,19,2,0.22,0.863,0.181,0.072968
6,19,2,0.22,0.863,0.181,0.849243
6,19,3,0.22,0.863,0.181,0.90802
6,19,4,0.22,0.863,0.181,0.0867
6,19,4,0.22,0.863,0.181,0.850494
6,19,4,0.22,0.863,0.181,0.894318
6,19,5,0.22,0.863,0.181,0.750092
6,19,6,0.22,0.863,0.181,0.308624
6,19,7,0.22,0.863,0.181,0.952881
6,19,8,0.22,0.863,0.181,0.553375
6,19,9,0.22,0.863,0.181,0.078949
6,19,9,0.22,0.863,0.181,0.538757
6,19,9,0.22,0.863,0.181,0.980225
6,19,10,0.22,0.863,0.181,0.454529
6,19,11,0.22,0.863,0.181,0.644043
6,19,12,0.22,0.863,0.181,0.383118
6,19,13,0.22,0.863,0.181,0.393219
6,19,14,0.22,0.863,0.181,0.567261
6,19,15,0.22,0.863,0.181,0.487396
6,19,16,0.22,0.863,0.181,0.639191
6,19,17,0.22,0.863,0.181,0.509827
6,19,18,0.22,0.863,0.181,0.960999
7,8,0,0.209,0.866,0.153,0.221375
7,8,1,0.209,0.866,0.153,0.980499
7,8,2,0.209,0.866,0.153,0.750824
7,8,3,0.209,0.866,0.153,0.980927
7,8,4,0.209,0.866,0.153,0.584045
7,8,5,0.209,0.866,0.153,0.990723
7,8,6,0.209,0.866,0.153,0.230469
7,8,7,0.209,0.866,0.153,0.425842
8,10,0,0.223,0.887,0.165,0.123077
8,10,0,0.223,0.887,0.165,0.538788
8,10,0,0.223,0.887,0.165,0.571991
8,10,1,0.223,0.887,0.165,0.304504
8,10,2,0.223,0.887,0.165,0.231781
8,10,3,0.223,0.887,0.165,0.492889
8,10,4,0.223,0.887,0.165,0.391083
8,10,5,0.223,0.887,0.165,0.153351
8,10,5,0.223,0.887,0.165,0.496979
8,10,5,0.223,0.887,0.165,0.151215
8,10,5,0.223,0.887,0.165,0.760254
8,10,6,0.223,0.887,0.165,0.111115
8,10,6,0.223,0.887,0.165,0.560638
8,10,6,0.223,0.887,0.165,0.346771
8,10,7,0.223,0.887,0.165,0.695648
